_id__$oid,last_modified__$date,delivery_lat,assigned_delivery_boy_id,trash,created_at__$date,delivery_lon,outlet_id,order_status,status,order_id,order_status_id,preparation_time,committed_time,eta,time_of_delivery,arrival_time_duration,delivery_boy_assigning_time__$date,actual_preparaed_time,pickup_time,approve_time,reaching_time__$date,arrival_time__$date,outlet_distance_from_delivery_person,assigning_lat_lon__001,assigning_lat_lon__002,destination_km_distance,destination_journey_duration,total_distance_travel_for_delivery
5f34ed488545a580a7966967,2020-08-13T13:21:17.905Z,22.4877066,25,0,2020-08-13T13:05:36.114Z,88.3208564,36,delivered,delivery boy assigned,83,6,20 minutes,1:13 PM,1:13 PM,1:21 PM,5 mins,2020-08-13T13:14:27.200Z,1:06 PM,1:16 PM,,,,,,,,,
5f34ed442851e01333b61f74,2020-08-13T13:44:08.772Z,22.492011,25,0,2020-08-13T13:05:32.216Z,88.324846,36,delivered,delivery boy assigned,82,6,20 minutes,1:15 PM,1:15 PM,1:44 PM,5 mins,2020-08-13T13:23:53.956Z,1:06 PM,1:25 PM,,,,,,,,,
5f34ec28e7c5289ff5720fbb,2020-08-13T13:56:02.986Z,22.4877066,25,0,2020-08-13T13:00:48.086Z,88.3208564,36,delivered,delivery boy assigned,73,6,20 minutes,1:08 PM,1:08 PM,1:56 PM,5 mins,2020-08-13T13:44:11.725Z,1:01 PM,1:48 PM,,,,,,,,,
5f34f22e2f4f916067ff647a,2020-08-13T14:01:30.449Z,22.4949609,23,0,2020-08-13T13:26:30.378Z,88.3191143,36,delivered,delivery boy assigned,84,6,20 minutes,1:34 PM,1:34 PM,2:01 PM,4 mins,2020-08-13T13:50:52.571Z,1:27 PM,1:51 PM,,,,,,,,,
5f3506c7b918e4bf298029d3,2020-08-13T15:05:55.586Z,22.5857548,10,0,2020-08-13T14:54:23.061Z,88.4212853,3,delivered,delivery boy assigned,86,6,20 minutes,3:30 PM,3:30 PM,3:05 PM,33 mins,2020-08-13T14:55:13.580Z,2:54 PM,2:55 PM,,,,,,,,,
5f3509b9c7a3269131c7399b,2020-08-13T15:08:15.455Z,22.5857548,10,0,2020-08-13T15:06:57.701Z,88.4212853,3,delivered,delivery boy assigned,87,6,10 minutes,3:42 PM,3:42 PM,3:08 PM,33 mins,2020-08-13T15:07:03.175Z,3:07 PM,3:07 PM,,,,,,,,,
5f350b13765d7823d5be77c4,2020-08-13T15:14:18.870Z,22.5857548,10,0,2020-08-13T15:12:43.282Z,88.4212853,3,delivered,delivery boy assigned,88,6,20 minutes,3:48 PM,3:48 PM,3:14 PM,33 mins,2020-08-13T15:13:18.852Z,3:12 PM,3:13 PM,,,,,,,,,
5f350f3d7390d772c01e80c6,2020-08-13T15:32:33.410Z,22.5857548,16,0,2020-08-13T15:30:29.571Z,88.4212853,3,delivered,delivery boy assigned,90,6,20 minutes,4:20 PM,4:20 PM,3:32 PM,47 mins,2020-08-13T15:30:35.274Z,3:30 PM,3:31 PM,,,,,,,,,
5f3514d24321683424e216d5,2020-08-13T15:56:06.443Z,22.5857548,10,0,2020-08-13T15:54:18.172Z,88.4212853,3,delivered,delivery boy assigned,92,6,20 minutes,4:30 PM,4:30 PM,3:56 PM,33 mins,2020-08-13T15:54:53.691Z,3:54 PM,3:55 PM,,,,,,,,,
5f351aa726f62aeac36ba52d,2020-08-13T16:21:32.689Z,22.5145187,23,0,2020-08-13T16:19:11.318Z,88.3530754,56,delivered,delivery boy assigned,94,6,20 minutes,4:25 PM,4:25 PM,4:21 PM,5 mins,2020-08-13T16:19:17.348Z,4:20 PM,4:20 PM,,,,,,,,,
